"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"8";"";"2,15/1,0";"2,15/1,0";"PAD101, PAD103, PAD104, PAD201, PAD301, PAD302, PAD303, PAD304";"THROUGH-HOLE PAD";"";"";"";"";"11";"";"";"";
"1";"";"3,81/1,4";"3,81/1,4";"PAD102";"THROUGH-HOLE PAD";"";"";"";"";"14";"";"";"";
"2";"100";"R-EU_0207/10";"0207/10";"R111, R305";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"3";"100/2W";"R-EU_0411/15";"0411/15";"R106, R107, R202";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"1";"100/35W";"PWR220T";"TO220-2";"R102";"";"";"";"";"";"";"";"";"";
"7";"100k";"R-EU_0207/10";"0207/10";"R301, R302, R303, R319, R320, R321, R322";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"1";"100k";"R-EU_0411/15";"0411/15";"R110";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"2";"100k";"R-TRIMM3296W";"RTRIM3296W";"R324, R327";"Trimm resistor";"";"";"";"";"3";"X";"";"POT";
"1";"100k/2W";"R-EU_0411/15";"0411/15";"R201";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"1";"100n";"C-EU102-054X133";"C102-054X133";"C301";"CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"2";"100n/400V";"C-EU150-072X183";"C150-072X183";"C306, C307";"CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"1";"100nF";"C-EU050-025X075";"C050-025X075";"C401";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";"";
"1";"100u/100V";"CPOL-EUE5-10.5";"E5-10,5";"C103";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"23";"";"C";"";
"2";"100u/25V";"CPOL-EUE5-8.5";"E5-8,5";"C310, C311";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"2";"10_270/2W";"CATHODE_RESISTOR";"0411/15";"R331, R332";"";"";"";"";"";"";"";"";"";
"3";"10k";"R-EU_0207/10";"0207/10";"R307, R308, R401";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"110";"R-EU_0207/10";"0207/10";"R316, R317";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"1M";"R-EU_0207/10";"0207/10";"R323, R328";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"1";"1N4148";"1N4148DO35-7";"DO35-7";"D401";"DIODE";"";"";"";"";"58";"";"";"";
"7";"1k";"R-EU_0207/10";"0207/10";"R112, R115, R313, R314, R329, R330, R402";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"1u/400V";"COUPLING_CAP_HOLES";"COUPLING_CAP_HOLES";"C304, C305";"";"";"";"";"";"";"";"";"";
"2";"1u/50V";"CPOL-EUE2.5-5";"E2,5-5";"C308, C309";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"16";"";"C";"";
