"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEMODEL";"SPICEPREFIX";"SPICEPREFIXL";
"16";"";"2,15/1,0";"2,15/1,0";"PAD102, PAD103, PAD104, PAD201, PAD301, PAD302, PAD303, PAD304, PAD402, PAD403, PAD404, PAD501, PAD601, PAD602, PAD603, PAD604";"THROUGH-HOLE PAD";"";"";"";"";"11";"";"";"";
"2";"";"3,81/1,4";"3,81/1,4";"PAD101, PAD401";"THROUGH-HOLE PAD";"";"";"";"";"14";"";"";"";
"4";"100";"R-EU_0207/10";"0207/10";"R111, R305, R411, R605";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"6";"100/2W";"R-EU_0411/15";"0411/15";"R106, R107, R202, R406, R407, R502";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"2";"100/35W";"PWR220T";"TO220-2";"R102, R402";"";"";"";"";"";"";"";"";"";
"14";"100k";"R-EU_0207/10";"0207/10";"R301, R302, R303, R319, R320, R321, R322, R601, R602, R603, R619, R620, R621, R622";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"100k";"R-EU_0411/15";"0411/15";"R110, R410";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"4";"100k";"R-TRIMM3296W";"RTRIM3296W";"R324, R327, R624, R627";"Trimm resistor";"";"";"";"";"3";"X";"";"POT";
"2";"100k/2W";"R-EU_0411/15";"0411/15";"R201, R501";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"2";"100n";"C-EU102-054X133";"C102-054X133";"C301, C601";"CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"4";"100n/400V";"C-EU150-072X183";"C150-072X183";"C306, C307, C606, C607";"CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"1";"100nF";"C-EU050-025X075";"C050-025X075";"C701";"CAPACITOR, European symbol";"";"";"";"";"29";"";"C";"";
"2";"100u/100V";"CPOL-EUE5-10.5";"E5-10,5";"C103, C403";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"23";"";"C";"";
"2";"100u/25";"CPOL-EUE5-8.5";"E5-8,5";"C610, C611";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"2";"100u/25V";"CPOL-EUE5-8.5";"E5-8,5";"C310, C311";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"4";"10_270/2W";"CATHODE_RESISTOR";"0411/15";"R331, R332, R631, R632";"";"";"";"";"";"";"";"";"";
"5";"10k";"R-EU_0207/10";"0207/10";"R307, R308, R607, R608, R701";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"4";"110";"R-EU_0207/10";"0207/10";"R316, R317, R616, R617";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"4";"1M";"R-EU_0207/10";"0207/10";"R323, R328, R623, R628";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"1N4148";"1N4148DO35-7";"DO35-7";"D701, D703";"DIODE";"";"";"";"";"58";"";"";"";
"13";"1k";"R-EU_0207/10";"0207/10";"R112, R115, R313, R314, R329, R330, R412, R415, R613, R614, R629, R630, R702";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"4";"1u/400V";"COUPLING_CAP_HOLES";"COUPLING_CAP_HOLES";"C304, C305, C604, C605";"";"";"";"";"";"";"";"";"";
"4";"1u/50V";"CPOL-EUE2.5-5";"E2,5-5";"C308, C309, C608, C609";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"16";"";"C";"";
"4";"2.2k/2W";"R-EU_0411/15";"0411/15";"R108, R109, R408, R409";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"4";"2.7k";"R-EU_0207/10";"0207/10";"R311, R312, R611, R612";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"2.7k/2W";"R-EU_0411/15";"0411/15";"R104, R404";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"2";"22";"R-EU_0207/10";"0207/10";"R105, R405";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"220u/16V";"CPOL-EUE5-8.5";"E5-8,5";"C105, C405";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"4";"220u/450V";"CPOL-EUE10-30";"EB30D";"C101, C102, C401, C402";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"0";"";"C";"";
"4";"22p";"C-EU025-025X050";"C025-025X050";"C302, C303, C602, C603";"CAPACITOR, European symbol";"";"";"";"";"65";"";"C";"";
"2";"270k/2W";"R-EU_0411/15";"0411/15";"R113, R413";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"4";"27k";"R-EU_0207/10";"0207/10";"R325, R326, R625, R626";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"2";"30";"R-EU_0207/10";"0207/10";"R306, R606";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"4";"4.7k";"R-EU_0207/10";"0207/10";"R309, R310, R609, R610";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"10";"470";"R-EU_0207/10";"0207/10";"R304, R315, R318, R333, R334, R604, R615, R618, R633, R634";"RESISTOR, European symbol";"";"";"";"";"81";"";"R";"";
"4";"470k/2W";"R-EU_0411/15";"0411/15";"R101, R103, R401, R403";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"4";"470u/100V";"CPOL-EUE7.5-16";"E7,5-16";"C201, C202, C501, C502";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"4";"";"C";"";
"2";"47k/2W";"R-EU_0411/15";"0411/15";"R114, R414";"RESISTOR, European symbol";"";"";"";"";"1";"";"R";"";
"2";"47u/450V";"CPOL-EUE7.5-18";"E7,5-18";"C104, C404";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"6";"";"C";"";
"1";"B3B-ZR";"B3B-ZR";"B3B-ZR";"X701";"ZH CONNECTOR 1.5 mm, 4 pin 1 row";"";"";"";"";"";"";"";"";
"2";"BC547";"BC547";"TO92-CBE";"Q301, Q601";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";
"1";"BS170";"BS170TO-92";"TO92-LINE";"Q701";"N-CHANNEL MOS FET";"";"";"";"";"";"";"";"";
